grid_id,center_lat,center_lon,demand
808,55.9513873423423,-3.1147622683261886,18267.831791312256
797,55.9513873423423,-3.2031969306915196,18255.77358336482
994,55.97390986486482,-3.1871179011705504,18154.240032434933
998,55.97390986486482,-3.154959842128612,16409.610818440244
759,55.946882837837805,-3.1951574159310345,15938.80588919299
698,55.9378738288288,-3.058485665002797,12989.389274806219
760,55.946882837837805,-3.1871179011705504,12394.410408075359
709,55.942378333333295,-3.2835920782963655,10761.849308872852
997,55.97390986486482,-3.162999356889096,10706.515333759417
720,55.942378333333295,-3.1951574159310345,9824.349184831844
879,55.96039635135131,-3.171038871649581,9785.816039101308
800,55.9513873423423,-3.1790783864100653,9606.88389952693
683,55.9378738288288,-3.1790783864100653,9357.870439786573
431,55.91084680180178,-3.323789652098788,9095.221972681325
644,55.93336932432429,-3.1790783864100653,8929.921611920854
798,55.9513873423423,-3.1951574159310345,8525.096379335355
674,55.9378738288288,-3.251434019254427,8480.921386221145
677,55.9378738288288,-3.227315474972973,8471.094720503317
955,55.96940536036031,-3.1871179011705504,8456.356336202067
809,55.9513873423423,-3.1067227535657045,8359.763346257589
995,55.97390986486482,-3.1790783864100653,8290.428373352603
758,55.946882837837805,-3.2031969306915196,8208.641014628967
567,55.92436031531528,-3.171038871649581,8027.745331645057
671,55.9378738288288,-3.2755525635358804,7963.006463759426
757,55.946882837837805,-3.2112364454520037,7887.342684055595
316,55.897333288288266,-3.307710622577819,7861.569002151118
640,55.93336932432429,-3.2112364454520037,7766.025783729421
635,55.93336932432429,-3.251434019254427,7700.850846434709
601,55.92886481981979,-3.2112364454520037,7597.2909810542515
756,55.946882837837805,-3.2192759602124887,7584.2261404494675
649,55.93336932432429,-3.138880812607643,7116.188266651221
738,55.942378333333295,-3.050446150242312,7049.87345018755
956,55.96940536036031,-3.1790783864100653,6917.790346501033
602,55.92886481981979,-3.2031969306915196,6916.171259057556
599,55.92886481981979,-3.227315474972973,6691.301228295404
844,55.95589184684681,-3.138880812607643,6676.591686396143
868,55.96039635135131,-3.2594735340149112,6634.255304967898
996,55.97390986486482,-3.171038871649581,6579.860715592216
404,55.90634229729727,-3.227315474972973,6552.9712625729335
413,55.90634229729727,-3.154959842128612,6548.128144801192
830,55.95589184684681,-3.251434019254427,6538.463719901725
796,55.9513873423423,-3.2112364454520037,6536.613790828207
871,55.96039635135131,-3.235354989733458,6511.085095112459
721,55.942378333333295,-3.1871179011705504,6463.048306842371
442,55.91084680180178,-3.235354989733458,6384.510440393242
682,55.9378738288288,-3.1871179011705504,6383.503807735898
957,55.96940536036031,-3.171038871649581,6357.41575959492
920,55.96490085585582,-3.154959842128612,6347.794321656131
710,55.942378333333295,-3.2755525635358804,6336.050479945192
522,55.91985581081079,-3.2192759602124887,6332.98869043529
